,n_data_pts,RTGP,MEP,MVI,MLGP,STGP
0,5,0.052848100662231445,0.19816899299621582,0.2027888298034668,0.16992712020874023,0.0012769699096679688
1,10,0.003267049789428711,0.16770601272583008,0.18668270111083984,0.17484092712402344,0.0016760826110839844
2,100,0.02615499496459961,0.22284698486328125,0.2491440773010254,0.22066092491149902,0.01618027687072754
3,500,0.0792381763458252,0.4772069454193115,0.6034629344940186,0.4327549934387207,0.0767829418182373
4,1000,0.16065716743469238,0.7922041416168213,0.7527172565460205,0.7476663589477539,0.14456677436828613
5,2000,0.3238861560821533,1.223963737487793,1.2902882099151611,1.3751497268676758,0.2586219310760498
6,2500,0.3894467353820801,1.6375072002410889,1.5429737567901611,1.5832672119140625,0.33539891242980957
7,4000,0.6085319519042969,2.3467509746551514,2.3601417541503906,2.343233823776245,0.529634952545166
8,5000,0.7491278648376465,2.864837884902954,2.9460270404815674,4.858129978179932,0.8810291290283203
9,7500,1.143225908279419,4.482043027877808,4.471096038818359,4.296225070953369,0.9753191471099854
10,10000,1.496568202972412,6.049245834350586,5.7430260181427,6.1804749965667725,1.216874122619629
11,15000,2.1721699237823486,8.983857870101929,8.635377168655396,9.390061140060425,2.383971929550171
12,20000,2.8740501403808594,11.587141990661621,11.450873136520386,11.28826904296875,2.5078389644622803
13,25000,4.507400989532471,15.522958993911743,14.166027069091797,13.572619199752808,4.468131065368652
14,30000,4.6342692375183105,17.249052047729492,17.280526638031006,17.791150093078613,3.843480110168457
15,35000,5.058406829833984,20.984739780426025,20.255003213882446,20.155314922332764,4.4416210651397705
16,40000,5.753361225128174,24.573772192001343,22.84572124481201,26.96524214744568,5.6954100131988525
17,46800,7.131621837615967,28.6950101852417,27.00082516670227,30.654783964157104,6.062841176986694
